Id,sampling_rate,gender,ethnicity,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,path,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29,mean_30,mean_31,mean_32,mean_33,mean_34,mean_35,mean_36,mean_37,mean_38,mean_39,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,std_8,std_9,std_10,std_11,std_12,std_13,std_14,std_15,std_16,std_17,std_18,std_19,std_20,std_21,std_22,std_23,std_24,std_25,std_26,std_27,std_28,std_29,std_30,std_31,std_32,std_33,std_34,std_35,std_36,std_37,std_38,std_39,words_per_second
0,22050,male,spanish,1056.9174,3945.161,145.3875,0.0220817325055027,0.1710764246757973,0.0031358134584532,0.0329631073771109,1549.6070500600424,[80.74951172],-116.66233765744694,69,281,2,38.19850340136055,audios_evaluation/1.wav,-22.693635940551758,-35.909671783447266,-31.929296493530273,-39.04048156738281,-40.610862731933594,-41.131675720214844,-44.759620666503906,-46.90070724487305,-47.2097282409668,-50.53461456298828,-50.604061126708984,-50.4770622253418,-51.61136245727539,-52.81516647338867,-54.9235954284668,-54.54642105102539,-53.409820556640625,-54.272640228271484,-54.11953353881836,-54.248321533203125,-55.758514404296875,-56.48403549194336,-56.37958526611328,-55.975955963134766,-55.04755401611328,-55.127376556396484,-57.3834114074707,-59.057769775390625,-60.266204833984375,-62.68960952758789,-65.27610778808594,-66.46868133544922,-65.47369384765625,-65.05167388916016,-65.11397552490234,-64.92636108398438,-65.76273345947266,-68.24520111083984,-71.71949768066406,-76.2884292602539,4.872225284576416,13.636940002441406,15.325947761535645,13.833885192871094,15.307536125183105,15.705053329467773,13.763696670532227,14.904906272888184,14.874438285827637,13.765509605407715,13.423680305480957,13.123881340026855,13.995084762573242,13.9888916015625,13.016114234924316,13.113765716552734,13.26818561553955,13.195773124694824,12.69039535522461,12.72275161743164,13.114121437072754,13.504136085510254,14.014365196228027,14.533156394958496,14.706050872802734,13.584997177124023,12.642083168029785,12.153401374816895,11.899923324584961,10.209686279296875,9.870940208435059,10.5601167678833,10.881205558776855,10.959639549255371,10.553384780883789,10.654325485229492,10.651575088500977,9.572090148925781,7.9506940841674805,5.489104270935059,1.7932724437513923
1,22050,male,xiang,1231.8457,3999.172,145.56432,0.0265708000746378,0.1325853935543565,0.0067832980414301,0.1238946052751457,2344.817369187901,[89.10290948],-78.25382429532267,69,281,27,29.605442176870746,audios_evaluation/2.wav,-26.600191116333008,-28.451034545898438,-28.440876007080078,-30.603914260864258,-36.33451843261719,-35.380645751953125,-39.26456069946289,-44.052711486816406,-50.399879455566406,-53.239688873291016,-47.917484283447266,-46.826900482177734,-48.06739044189453,-50.255428314208984,-51.73330307006836,-50.03972244262695,-49.20042419433594,-50.369998931884766,-51.815895080566406,-54.0828742980957,-53.247467041015625,-52.880592346191406,-50.41799545288086,-51.411319732666016,-54.37702560424805,-56.18198776245117,-54.50651550292969,-51.94794464111328,-53.37831497192383,-53.60747146606445,-53.89379119873047,-55.1049690246582,-56.184146881103516,-61.054176330566406,-61.96904754638672,-61.169403076171875,-61.455970764160156,-59.72251892089844,-59.418975830078125,-62.7457389831543,10.822099685668945,15.877872467041016,17.965852737426758,17.158428192138672,15.612364768981934,16.36252784729004,15.37759780883789,14.081469535827637,11.771383285522461,9.543497085571289,12.066362380981445,12.659836769104004,12.237275123596191,11.784625053405762,11.132868766784668,11.629323959350586,12.198774337768555,11.52192211151123,11.474539756774902,11.374999046325684,12.054558753967285,11.988907814025879,12.861647605895996,12.95457649230957,11.545470237731934,10.983759880065918,11.458194732666016,12.318121910095215,12.291072845458984,13.075186729431152,14.119341850280762,14.300065040588379,13.797516822814941,13.109719276428223,12.805975914001465,13.574984550476074,13.936585426330566,14.353723526000977,13.691740989685059,12.857928276062012,2.167323129082116
2,22050,male,igbo,958.29065,3445.449,145.67374,0.0180435860602581,0.0962894382497858,0.0044783296168206,0.0891488882211538,1939.5748962818748,[123.046875],-71.63074211960677,6,22,2,2.275555555555556,audios_evaluation/3.wav,-20.635906219482422,-21.562467575073242,-22.772510528564453,-24.460063934326172,-24.892276763916016,-25.719820022583008,-26.83287811279297,-30.118797302246094,-30.38617706298828,-32.40718460083008,-33.32334518432617,-34.945533752441406,-35.33522033691406,-36.55650329589844,-37.05799102783203,-38.00051498413086,-37.46858215332031,-37.3092041015625,-38.44793701171875,-40.14223861694336,-40.58076858520508,-39.742225646972656,-40.170249938964844,-41.99946975708008,-46.61134338378906,-48.186580657958984,-48.02753448486328,-47.397151947021484,-48.69997787475586,-50.41101837158203,-48.201904296875,-49.47694778442383,-52.26209259033203,-53.6986083984375,-54.583946228027344,-55.064170837402344,-55.42554473876953,-55.13974380493164,-57.636802673339844,-59.65652084350586,12.041162490844727,16.175905227661133,14.947983741760254,15.148164749145508,15.537727355957031,13.792131423950195,11.698646545410156,12.1845703125,11.812845230102539,12.036910057067871,12.667612075805664,12.086823463439941,11.97817325592041,11.33338737487793,11.366218566894531,10.878381729125977,11.228999137878418,10.617980003356934,10.204886436462402,9.84102725982666,9.40947437286377,10.373106956481934,10.758301734924316,10.173752784729004,7.896732330322266,8.381535530090332,8.992783546447754,8.889338493347168,7.9286017417907715,7.296389102935791,10.32933521270752,10.205791473388672,9.369221687316895,10.980741500854492,11.812234878540039,12.432393074035645,13.172884941101074,12.869607925415039,12.083227157592773,12.598245620727539,2.493826695067011
3,22050,female,spanish,1396.5417,3998.8948,145.41223,0.0272900771655568,0.0889012450057843,0.0148927387971445,0.0970539411374451,1832.059112513784,[123.046875],-101.53301292023268,69,281,31,22.15183673469388,audios_evaluation/4.wav,-27.852191925048828,-24.079111099243164,-27.148500442504883,-29.17475128173828,-31.928787231445312,-35.732505798339844,-39.54596710205078,-41.53645324707031,-42.98366165161133,-45.063385009765625,-46.6627082824707,-48.18033981323242,-49.00989532470703,-49.42451858520508,-49.637508392333984,-49.24320983886719,-49.25935745239258,-49.64118957519531,-49.8197135925293,-50.05079650878906,-51.10991668701172,-51.967811584472656,-51.33053207397461,-50.25136184692383,-52.25578689575195,-55.82860565185547,-57.44193649291992,-56.08699417114258,-57.275794982910156,-60.550819396972656,-62.5025749206543,-62.39143753051758,-64.42843627929688,-66.12266540527344,-66.10620880126953,-65.82725524902344,-67.16270446777344,-67.71258544921875,-67.85895538330078,-69.0250015258789,12.591861724853516,15.254131317138672,13.915172576904297,15.911784172058105,15.274320602416992,15.440935134887695,13.767087936401367,12.635516166687012,11.823156356811523,11.014034271240234,10.557541847229004,9.639297485351562,9.360966682434082,9.446361541748047,10.08643913269043,10.568001747131348,10.679082870483398,10.53971004486084,10.817734718322754,10.833026885986328,10.69273567199707,10.826274871826172,11.030319213867188,11.516843795776367,10.31433391571045,8.71152114868164,9.835882186889648,11.328591346740723,11.867048263549805,10.999363899230957,10.239651679992676,10.435467720031738,9.384840965270996,8.401890754699707,8.111482620239258,8.19511890411377,7.692211151123047,7.057448863983154,6.544583320617676,6.350752353668213,2.17670909111719
4,22050,male,spanish,1633.8677,3999.7632,145.36313,0.0216210987189453,0.1038554564664848,0.0013692209986504,0.1409501774569268,2534.6111683881727,[112.34714674],-134.91406976567893,69,281,35,22.430476190476192,audios_evaluation/5.wav,-33.04696273803711,-33.964717864990234,-34.76136016845703,-35.00236892700195,-38.159053802490234,-42.03459548950195,-44.56525802612305,-45.388282775878906,-48.09282684326172,-49.68310546875,-52.17524719238281,-53.868507385253906,-54.2164306640625,-53.063114166259766,-51.73611831665039,-50.4683723449707,-50.68963623046875,-50.87173080444336,-51.16490936279297,-52.05996322631836,-51.6044921875,-51.14287185668945,-52.88521957397461,-54.8934211730957,-54.74555969238281,-53.590904235839844,-52.09516143798828,-51.188377380371094,-54.01188278198242,-58.70191192626953,-59.8043212890625,-60.77444839477539,-63.01506042480469,-62.75071334838867,-61.64138412475586,-63.6138916015625,-65.12210845947266,-65.36185455322266,-65.66136169433594,-65.69577026367188,8.932632446289062,14.568675994873047,15.552892684936523,14.866127967834473,15.493558883666992,16.099931716918945,15.929160118103027,13.56002426147461,12.73951244354248,11.364328384399414,11.231017112731934,11.451631546020508,12.430625915527344,12.7437744140625,13.117551803588867,13.067412376403809,13.718466758728027,13.531769752502441,13.053370475769043,12.465744972229004,12.213133811950684,13.17276382446289,13.2044677734375,11.612939834594727,11.520177841186523,13.291020393371582,14.782661437988281,15.166625022888184,14.418855667114258,12.508576393127441,13.161528587341309,13.535213470458984,12.946105003356934,13.665999412536621,13.513052940368652,12.431425094604492,12.786762237548828,12.52358341217041,12.652203559875488,12.392812728881836,2.090909090909091
5,22050,female,ikwerre,1043.3937,3974.3835,152.72447,0.0257779461606412,0.1088057388002498,0.0009765670938729,0.0559910765481651,1740.7018552512943,[135.99917763],-85.45554636535665,2,10,1,2.523174603174603,audios_evaluation/6.wav,-24.357418060302734,-29.320287704467773,-17.149250030517578,-23.084510803222656,-31.79520034790039,-25.930389404296875,-28.426870346069336,-36.86378479003906,-38.41123580932617,-38.94218063354492,-39.74211120605469,-41.238155364990234,-41.42851257324219,-41.29132080078125,-42.1485710144043,-44.048492431640625,-42.608253479003906,-42.70265579223633,-42.39756774902344,-42.314186096191406,-40.73398208618164,-40.49571228027344,-40.58552551269531,-44.0349006652832,-47.18186569213867,-48.16352081298828,-46.62754821777344,-43.96784210205078,-42.554988861083984,-43.3348274230957,-45.91892623901367,-52.12091064453125,-58.267173767089844,-63.696983337402344,-66.78697204589844,-66.03954315185547,-62.55434799194336,-61.1153450012207,-59.72288513183594,-62.3768310546875,1.169986605644226,3.19230055809021,10.05467414855957,11.821430206298828,6.620549201965332,11.18276309967041,13.676654815673828,12.537002563476562,11.765582084655762,11.973094940185547,10.98989200592041,12.396217346191406,11.571003913879395,10.819122314453125,12.250835418701172,11.836033821105957,13.823399543762207,12.935897827148438,13.174620628356934,12.361742973327637,15.022928237915039,15.376104354858398,14.748148918151855,11.399948120117188,11.404882431030273,11.561271667480469,12.276267051696777,13.533108711242676,14.384031295776367,14.468140602111816,11.82917594909668,7.669690132141113,4.667468547821045,3.794759750366211,3.554036855697632,5.294520854949951,8.271453857421875,8.444071769714355,9.012777328491211,8.362569808959961,0.7926522395571213
6,22050,female,spanish,1685.1119,3999.5852,145.6659,0.0213560288883015,0.0894084068437476,0.0050746167726343,0.1507531888455623,2503.981083328545,[151.99908088],-111.679084056145,69,281,28,19.458321995464846,audios_evaluation/7.wav,-46.748783111572266,-38.2171630859375,-31.800382614135742,-37.758541107177734,-35.819725036621094,-34.83393478393555,-41.59465789794922,-46.48456573486328,-48.16034698486328,-48.57795333862305,-48.596370697021484,-48.47340393066406,-48.14472198486328,-48.098609924316406,-48.01211166381836,-48.644710540771484,-48.053871154785156,-48.30683135986328,-49.75337219238281,-52.314552307128906,-53.396358489990234,-53.09741973876953,-52.37773895263672,-52.640132904052734,-53.38795471191406,-55.03179931640625,-56.142601013183594,-56.67302703857422,-56.424766540527344,-57.98031234741211,-58.03279495239258,-58.97249984741211,-61.059539794921875,-60.834510803222656,-60.57359313964844,-62.83610153198242,-64.25817108154297,-65.01948547363281,-66.43716430664062,-67.81758117675781,6.47227144241333,15.506904602050781,18.225177764892578,14.410845756530762,15.952127456665039,18.450180053710938,15.185035705566406,12.397985458374023,12.567935943603516,12.13373851776123,12.300084114074707,12.606928825378418,12.349017143249512,11.969833374023438,12.135924339294434,11.996495246887207,11.688946723937988,11.683211326599121,11.087714195251465,10.217679977416992,10.216782569885254,10.182623863220215,10.466096878051758,10.581038475036621,10.202004432678223,9.939492225646973,9.953832626342773,10.230145454406738,10.149073600769043,9.971009254455566,10.297101974487305,10.5874605178833,10.282174110412598,8.26689624786377,8.656105041503906,9.606302261352539,8.845305442810059,9.285213470458984,9.170950889587402,8.760326385498047,2.611541280529775
7,22050,female,igbo,1383.9468,3973.5286,148.644,0.0152068041454336,0.0735485934567048,0.0082747630111045,0.0721558988764045,2112.056001712507,[123.046875],-46.0849376354986,6,15,2,1.9708390022675737,audios_evaluation/8.wav,-26.802629470825195,-23.338993072509766,-18.328128814697266,-25.724746704101562,-30.08991241455078,-28.699087142944336,-28.785938262939453,-34.48564910888672,-32.76063919067383,-34.636260986328125,-37.057090759277344,-40.84857177734375,-38.54752731323242,-40.49785614013672,-41.63648986816406,-41.34160614013672,-42.43783187866211,-41.118412017822266,-41.96644592285156,-41.51569366455078,-42.11698913574219,-43.03904724121094,-42.14023971557617,-41.06490707397461,-40.774810791015625,-41.31532669067383,-43.40900802612305,-45.94770812988281,-50.164703369140625,-51.582698822021484,-50.71308135986328,-50.115482330322266,-50.57149124145508,-51.27675247192383,-53.24778366088867,-57.21098709106445,-57.267364501953125,-55.61665344238281,-54.45082473754883,-55.323978424072266,9.806954383850098,12.734609603881836,13.531474113464355,13.431540489196777,12.838170051574707,14.091846466064453,14.200838088989258,15.17182445526123,14.362479209899902,14.501639366149902,13.447345733642578,13.031875610351562,15.14786148071289,12.937020301818848,12.30331802368164,14.040075302124023,10.64838695526123,12.068041801452637,12.859047889709473,14.191595077514648,15.346168518066406,14.068551063537598,13.552058219909668,11.861926078796387,10.194635391235352,9.305364608764648,9.606107711791992,9.751716613769531,9.56273365020752,9.251803398132324,8.512205123901367,8.150720596313477,6.709023952484131,4.729583263397217,4.142345905303955,4.525063514709473,4.640080451965332,3.7208902835845947,3.6083414554595947,4.6354522705078125,2.907372816174047
8,22050,male,spanish,1465.3152,3999.6648,145.39381,0.020371015867976,0.0890011473761586,0.0073721896690449,0.1582276965725806,2497.038193834084,[143.5546875],-114.97704920651684,69,281,46,23.916553287981856,audios_evaluation/9.wav,-50.2551155090332,-38.950233459472656,-34.57940673828125,-36.25893020629883,-37.39327621459961,-39.8114128112793,-43.9381217956543,-46.0994758605957,-45.556602478027344,-46.18035125732422,-46.29634094238281,-47.02263641357422,-48.078330993652344,-48.651248931884766,-49.18062973022461,-49.387367248535156,-49.647098541259766,-50.32411193847656,-51.24753189086914,-51.54856491088867,-52.327877044677734,-52.87221908569336,-53.442222595214844,-55.20439529418945,-58.1842041015625,-58.58280563354492,-56.88971710205078,-56.235477447509766,-60.36430358886719,-63.0333251953125,-63.117706298828125,-62.541255950927734,-62.68704605102539,-62.16027069091797,-63.74355697631836,-65.09434509277344,-65.65695190429688,-65.7530746459961,-67.30821228027344,-69.92506408691406,15.04702377319336,17.138263702392578,17.61602783203125,18.110036849975586,19.42581558227539,19.51359748840332,18.45867347717285,17.567363739013672,17.3231258392334,17.07083511352539,16.326618194580078,16.721771240234375,16.366497039794922,16.06661605834961,15.896080017089844,16.03763771057129,16.04018211364746,16.05777359008789,15.81010913848877,16.098798751831055,16.41259765625,16.505054473876953,16.627988815307617,16.195825576782227,14.732355117797852,15.045321464538574,16.50131607055664,16.495155334472656,14.096474647521973,13.224227905273438,13.76102352142334,14.644627571105957,14.678238868713379,14.416645050048828,13.537318229675293,13.317817687988281,12.89250659942627,12.58897876739502,11.96954345703125,10.77070140838623,1.9174396330090235
9,22050,male,igbo,692.27057,3960.8286,145.45409,0.0179422214875933,0.1284668636181762,0.0009377938125513,0.0642274100825471,2225.098897075537,[135.99917763],-25.985415379519026,0,0,1,2.439002267573696,audios_evaluation/10.wav,-24.239492416381836,-24.259376525878906,-26.29692268371582,-25.50959014892578,-26.29166603088379,-28.154630661010742,-28.62697410583496,-31.69817543029785,-31.90738868713379,-33.15918731689453,-34.03521728515625,-37.67793273925781,-40.25627899169922,-43.606651306152344,-44.84330368041992,-46.1956672668457,-48.91257095336914,-51.80974197387695,-53.487064361572266,-54.641021728515625,-53.40653991699219,-50.91789627075195,-47.44948196411133,-44.88457489013672,-45.763092041015625,-49.355159759521484,-53.06649398803711,-55.903411865234375,-57.66783905029297,-56.9950065612793,-53.070072174072266,-47.498085021972656,-46.76251983642578,-51.360687255859375,-56.4337043762207,-57.207252502441406,-51.50736999511719,-51.581424713134766,-54.864471435546875,-56.08897399902344,4.355384826660156,9.722284317016602,10.693063735961914,12.831283569335938,12.422112464904785,13.551368713378906,13.235069274902344,13.654000282287598,12.744657516479492,11.517339706420898,12.50009822845459,12.415830612182617,9.990248680114746,7.994516372680664,8.69829273223877,10.8381986618042,9.950292587280273,8.43410873413086,7.927595615386963,6.477255344390869,5.963996887207031,5.930957794189453,5.236166000366211,4.170321464538574,2.772754192352295,2.8650102615356445,2.831817626953125,3.4016542434692383,5.4399333000183105,6.185779571533203,6.567842483520508,5.959521770477295,5.129429340362549,4.164000988006592,2.9089717864990234,2.1895315647125244,2.1311471462249756,1.7118632793426514,2.8830771446228027,2.750164270401001,0.0
